team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
West Indies,Ireland,Providence Stadium,West Indies,1,West Indies,2010-04-30,20,0.45,2,8,0.5,2,0,0,0,0.0,0,0.0,1,0
New Zealand,Sri Lanka,Providence Stadium,Sri Lanka,1,New Zealand,2010-04-30,31,0.45161290322580644,2,23,0.5652173913043478,1,3,3,0,0.0,0,0.0,0,1
Bangladesh,Pakistan,"Beausejour Stadium, Gros Islet",Pakistan,1,Pakistan,2010-05-01,13,0.15384615384615385,0,26,0.7692307692307693,3,0,3,0,0.0,0,0.0,0,1
India,South Africa,"Beausejour Stadium, Gros Islet",South Africa,0,India,2010-05-02,19,0.5263157894736842,1,26,0.6153846153846154,2,2,1,0,0.0,0,0.0,0,1
Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,1,Australia,2010-05-02,29,0.5517241379310345,5,27,0.7777777777777778,3,1,2,0,0.0,1,1.0,1,0
West Indies,England,Providence Stadium,West Indies,0,West Indies,2010-05-03,21,0.47619047619047616,2,26,0.4230769230769231,2,3,1,1,1.0,0,0.0,1,0
Sri Lanka,Zimbabwe,Providence Stadium,Sri Lanka,1,Sri Lanka,2010-05-03,24,0.5416666666666666,1,3,0.6666666666666666,2,0,0,1,0.0,0,0.0,1,0
New Zealand,Zimbabwe,Providence Stadium,New Zealand,0,New Zealand,2010-05-04,32,0.46875,2,4,0.5,2,0,0,1,1.0,1,0.0,1,0
Australia,Bangladesh,"Kensington Oval, Bridgetown",Australia,1,Australia,2010-05-05,30,0.5666666666666667,5,14,0.14285714285714285,0,1,0,1,0.0,0,0.0,1,0
England,Pakistan,"Kensington Oval, Bridgetown",England,0,England,2010-05-06,27,0.4074074074074074,2,28,0.75,2,2,2,0,0.0,0,0.0,1,0
New Zealand,South Africa,"Kensington Oval, Bridgetown",South Africa,1,South Africa,2010-05-06,33,0.48484848484848486,3,27,0.5925925925925926,1,1,3,0,0.0,0,0.0,0,1
